age	sex	height (in.)	weight (lb.)	height (cm.)	weight (kg.)	Shqip	Euskera	中文 (Simplified)	中文 (Traditional)	Hrvatska	Dansk	English (GB)	English (US)	فارسى	Suomi	Français	Gailge	Deutsch	Ελληνικά	Magyar	Íslenska	India	Italiano	日本語	한국어	Македонија	Norsk	Português	Русский язык	Srbija	Slovenščina	Español	Svenska	Tiếng Việt
15	M	66	105	168	48	Clirim	Ubarna	东	健中	Damir	Erik	Ben	Clay	بامداد	Elias	Claude	Caoimhín	Christian	Φιλιππος	Antal	Bjarni	Akash	Carlo	圭吾	영준	Бојан	Bård	Fábio	Антон	Andrej	Andrej	Andrés	Arne	Bấc
15	M	66	106	168	48	Dëfrim	Iraitz	志刚	健志	Daniel	Hans	Conor	Danny	جهانشاد	Jari	Denis	Cassán	Daniel	Δαμαρχος	Balázs	Björn	Alok	Daniele	健太	성호	Владимир	Børge	Flávio	Анатолий	Djordje	Anton	Baltasár	Bengt	Bạch Dương
13	M	59	79	150	36	Diell	Zeledon	建国	健華	David	Henrik	Daniel	David	بابک	Johannes	Didier	Dáire	David	Εκεφυλος	Bálint	Einar	Amit	Davide	航平	구	Влатко	Frederik	Geuide	Андрей	Dušan	Franc	Cesar	Börje	Bay
14	M	68	112	173	51	Erdi	Aitor	虎	國寶	Denis	Jan	David	Edward	دانیال	Juha	Édouard	Deaglán	Elias	Fαναξιων	Benedek	Gísli	Arjun	Enrico	潤	건우	Горан	Henning	Henrique	Борис	Filip	Frančišek	Emilio	Erik	Cản
14	M	63	93	160	42	Florin	Alain	煌	國柱	Fedor	Jens	Dylan	Frederick	داوود	Juhani	Frédéric	Éamonn	Felix	Ζωιλος	Ferenc	Guðjón	Arnav	Fabio	俊介	탁	Давид	Håkon	Hermes	Виктор	Jovan	Ivan	Fabián	Georg	Chí Linh
14	M	65	119	165	54	Gëzim	Alexander	俊杰	國豪	Filip	Jesper	Ethan	Henry	رادمان	Kalevi	Honoré	Faolán	Hannes	Ζωπυρος	Gergely	Guðmundur	Ayaan	Giacomo	翔太	하늘	Дарко	Håvar	Hildo	Владимир	Lazar	Jakob	Fernando	Gunnar	Chien
12	M	61	128	155	58	Hënor	Andre	磊	大同	Goran	Jonas	Jack	James	طهمورث	Kristian	Jacques	Gilleagán	Jakob	Ηρακλειδας	György	Halldór	Girish	Giancarlo	慎吾	이슬	Дејан	Jørgen	Honório	Геннадий	Luka	Janez	Hector	Göran	Cự Phách
14	M	69	113	175	51	Jentonio	Denis	力	子新	Ivan	Jørgen	James	Jeffrey	فرهود	Matias	Jérôme	Gormán	Jan	Θεοδωρος	Imre	Helgi	Kabir	Giuseppe	大輝	준서	Андреј	Kjartan	Inacio	Дмитрий	Marko	Jože	Hugo	Ivar	Cưởng
13	M	63	105	160	48	Kujtim	Edur	龙	家俊	Ivano	Lars	Jamie	Joe	لهراسب	Mikael	Jules	Laisrén	Jonas	Ιππιας	István	Jóhann	Kayaan	Guglielmo	大介	예준	Драган	Kristian	Ivan	Евгений	Mateja	Jožef	Juan	Jörgen	Dậu
13	M	65	98	165	45	Lavdrim	Gorka	猛	家傑	Ivica	Martin	John	John	محمود	Olavi	Julien	Laoidheach	Julian	Καλλιας	Jakab	Jón	Moti	Leonardo	拓哉	민준	Зоран	Lavrans	José	Иван	Mihajlo	Karel	Mario	Kjell	Đức Trí
17	M	68	134	173	61	Liridon	Igor	鹏程	家寶	Jakov	Michael	Joshua	Kirk	محمّد	Oskari	Léon	Mac Táil	Kevin	Λεων	János	Kristján	Narender	Lorenzo	太郎	주원	Иво	Magnus	João	Климент	Miloš	Karol	Nestor	Kurt	Dương Quy
17	M	70	172	178	78	Mëhill	Iñigo	强	家成	Josip	Morten	Luke	Lawrence	منوچهر	Pekka	Luc	Naomhán	Leon	Μενανδρος	László	Magnús	Pranav	Mario	司	준서	Игор	Mattias	Lauro	Константин	Nemanja	Leopold	Norberto	Lars	Giao
14	M	64	92	163	42	Nderim	Kismi	世	家豪	Karlo	Niels	Matthew	Lewis	همایون	Petteri	Lucien	Niallán	Lukas	Νικιας	Márton	Ólafur	Ravindra	Maurizio	剛	시우	Илија	Njål	Lorival	Леонид	Nikola	Ludvik	Oliver	Mikael	Giáp
15	M	62	104	157	47	Qëndrim	Leire	松	家輝	Luka	Ole	Michael	Mark	ونداد	Tapani	Marc	Ógán	Matthias	Ξενων	Máté	Páll	Reyansh	Mauro	徹	예준	Марко	Peder	Luciano	Максим	Ognjen	Martin	Oscar	Niklas	Hà
13	M	58	95	147	43	Sparti	Mañel	涛	小明	Mario	Per	Nathan	Michael	پرهام	Tapio	Michel	Rúadhán	Maximilian	Ομολωιχος	Mátyás	Pétur	Sharad	Michele	智也	서준	Никола	Pål	Luís	Михаил	Pavle	Mihael	Pedro	Nils	Hào
16	M	68	128	173	58	Taulant	Nuño	伟	德志	Marko	Peter	Patrick	Phillip	چنگیز	Timo	Philippe	Séadhna	Niklas	Παραμονος	Mihály	Ragnar	Sachin	Paolo	隼人	지후	Петар	Ragnar	Manuel	Роман	Petar	Rudolf	Rafael	Per	Pin
12	M	51	79	130	36	Trëndafil	Paul	大勇	德華	Matej	Silas	Richard	Ryan	کمبوجیه	Topias	René	Sinclair	Philipp	Πέτρος	Miklós	Sigurður	Sai	Renzo	仁	지훈	Сашо	Sigbjørn	Marcelo	Тимофей	Stefan	Stanislav	Salvador	Sten	Phú Thanh
15	M	67	128	170	58	Uran	Peio	章	德華	Nikola	Svend	Ryan	Robert	کمبوجیه	Valtteri	Rondel	Tighearnán	Simon	Ροδων	Norbert	Sigvaldi	Sameer	Roberto	誠	현우	Весела	Sølve	Mauricio	Трофим	Uroš	Štefan	Samuel	Sten	Phúc
12	M	60	84	152	38	Valdrin	Teobaldo	安	文達	Petar	Søren	Thomas	Tim	کیارش	Veikko	Théophile	Tómmán	Tim	Σατυρος	Péter	Sveinn	Shaurya	Stefano	裕介	도현	Стефан	Thor	Rafael	Фёдор	Veljko	Sveto	Sergio	Torbjörn	Quoc
15	M	65	111	165	50	Veprim	Ubarna	超	民强	Stjepan	Thomas	William	William	کیوان	Ville	Xavier	Ultán	Tom	Τιμοκριτος	Tamás	Þorsteinn	Veer	Tommaso	渉	우진	Филип	Øystein	Rogério	Эдуард	Vuk	Viktor	Zoé	Vilhelm	Thái
